Cluster,Source,Destination,Gate Count Scaling
Z,Gen9LPClient,PVC_Scaled,False
Z,Gen9LPSoC,PVC_Scaled,False
Z,Gen10LP,PVC_Scaled,False
Z,Gen11LP,PVC_Scaled,False
Z,Gen12LP,PVC_Scaled,False
DSSC,Gen9LPClient,PVC_Scaled,False
DSSC,Gen9LPSoC,PVC_Scaled,False
DSSC,Gen10LP,PVC_Scaled,False
DSSC,Gen11LP,PVC_Scaled,False
DSSC,Gen12LP,PVC_Scaled,False
FF,Gen9LPClient,PVC_Scaled,False
FF,Gen9LPSoC,PVC_Scaled,False
FF,Gen10LP,PVC_Scaled,False
FF,Gen11LP,PVC_Scaled,False
FF,Gen12LP,PVC_Scaled,False
HDC,Gen9LPClient,PVC_Scaled,False
HDC,Gen9LPSoC,PVC_Scaled,False
HDC,Gen10LP,PVC_Scaled,False
HDC,Gen11LP,PVC_Scaled,False
HDC,Gen12LP,PVC_Scaled,False
rFF,Gen9LPClient,PVC_Scaled,False
rFF,Gen9LPSoC,PVC_Scaled,False
rFF,Gen10LP,PVC_Scaled,False
