State,Source,Stepping,Weight,Type,GC,COMMENT,UNIT,CLUSTER,Annealing/TR
PS2_STC,Gen8,A0,75.96,syn,705438.00,,STC,Z,
PS2_STC_ALLOC_HITS,Gen8,A0,75.96,syn,705438.00,,STC,Z,
PS2_STC_ALLOC_MISSES,Gen8,A0,75.96,syn,705438.00,,STC,Z,
PS2_STC_CACHE_READ,Gen8,B0,12.95,ebb,1.00,,STC,Z,
PS2_STC_CACHE_READ,Gen8LPSoC,B0,17.96,ebb,1.00,,STC,Z,
PS2_STC_CACHE_WRITE,Gen8,B0,13.32,ebb,1.00,,STC,Z,
PS2_STC_CACHE_WRITE,Gen8LPSoC,B0,22.12,ebb,1.00,,STC,Z,
PS2_SVG,Gen8,A0,10.64,syn,69714.00,,SVG,FF,
PS2_SVL,Gen8,A0,8.12,syn,103410.00,,SVL,ROSC,
PS2_SVSM,Gen8,B0,16.60,syn,154170.00,,SVSM,Sampler,
PS2_TC,Gen8,A0,25.81,syn,479003.00,,TC,EU,
PS2_TDC,Gen8,A0,0.00,syn,188379.00,,TDC,ROSC,
PS2_TDG,Gen8,A0,14.02,syn,153333.00,,TDG,FF,
PS2_TDL_NONPSDDISPATCH,Gen8,A0,15.89,syn,426672.00,,TDL,ROSS,
PS2_TDL_PSDDISPATCH,Gen8,A0,15.89,syn,426672.00,,TDL,ROSS,
PS2_TDS_Cache_Read,Gen8,B0,15.44,ebb,1.00,,TDS,FF,
PS2_TDS_Cache_Read,Gen8LPSoC,B0,8.84,ebb,1.00,,TDS,FF,
PS2_TDS_Cache_ReadWrite,Gen8,B0,53.26,ebb,1.00,,TDS,FF,
PS2_TDS_Cache_ReadWrite,Gen8LPSoC,B0,25.00,ebb,1.00,,TDS,FF,
PS2_TDS_Cache_Write,Gen8,B0,37.82,ebb,1.00,,TDS,FF,
PS2_TDS_Cache_Write,Gen8LPSoC,B0,16.17,ebb,1.00,,TDS,FF,
PS2_TDS_Disabled,Gen8,A0,113.80,syn,719541.00,,TDS,FF,
PS2_TDS_Enabled,Gen8,A0,129.15,syn,719541.00,,TDS,FF,
PS2_TE_Disabled,Gen8,A0,13.00,syn,101061.00,,TE,FF,
PS2_TE_Enabled,Gen8,A0,36.87,syn,101061.00,,TE,FF,
PS2_TSG,Gen8,A0,20.61,syn,379692.00,,TSG,FF,
PS2_URBM,Gen8,A0,25.38,syn,172710.00,,URBM,FF,
PS2_VF,Gen8,A0,146.17,syn,1584422.00,,VF,FF,
PS2_VF_Cache_Read,Gen8,B0,5.80,ebb,1.00,,VF,FF,
PS2_VF_Cache_Read,Gen8LPSoC,B0,1.39,ebb,1.00,,VF,FF,
PS2_VF_Cache_Write,Gen8,B0,6.37,ebb,1.00,,VF,FF,
PS2_VF_Cache_Write,Gen8LPSoC,B0,1.16,ebb,1.00,,VF,FF,
PS2_VF_Control,Gen8,A0,146.17,syn,1584422.00,,VF,FF,
PS2_VF_Dropped,Gen8,A0,146.17,syn,1584422.00,,VF,FF,
PS2_VF_Indexed,Gen8,A0,146.17,syn,1584422.00,,VF,FF,
PS2_VF_Sequential,Gen8,A0,146.17,syn,1584422.00,,VF,FF,
PS2_VF_URBFifo_Read,Gen8,B0,3.88,ebb,1.00,,VF,FF,
PS2_VF_URBFifo_Read,Gen8LPSoC,B0,2.23,ebb,1.00,,VF,FF,
PS2_VF_URBFifo_Write,Gen8,B0,4.91,ebb,1.00,,VF,FF,
PS2_VF_URBFifo_Write,Gen8LPSoC,B0,2.12,ebb,1.00,,VF,FF,
PS2_VFBE1,Gen8,A0,73.09,syn,822462.00,half of vfunit,VFBE1,FF,
PS2_VFBE2,Gen8,A0,73.09,syn,822462.00,half of vfunit,VFBE2,FF,
PS2_VFE,Gen8,A0,0.00,syn,90072.00,,VFE,FF,
PS2_VS_Cache_Read,Gen8,B0,8.75,ebb,1.00,,VS,FF,
PS2_VS_Cache_Read,Gen8LPSoC,B0,3.64,ebb,1.00,,VS,FF,
PS2_VS_Cache_Write,Gen8,B0,12.27,ebb,1.00,,VS,FF,
PS2_VS_Cache_Write,Gen8LPSoC,B0,6.14,ebb,1.00,,VS,FF,
PS2_VSBE,Gen8,A0,152.94,syn,1636656.00,,VSBE,FF,
PS2_VSFE,Gen8,A0,152.94,syn,1636656.00,,VSFE,FF,
PS2_WMBE_ANTIALIASING,Gen8,A0,26.81,syn,900063.00,,WMBE,ROSC,
PS2_WMBE_FULLYLIT,Gen8,A0,26.81,syn,900063.00,,WMBE,ROSC,
PS2_WMBE_NULLTOPSC,Gen8,A0,5.95,syn,900063.00,,WMBE,ROSC,
PS2_WMBE_PARTIALLYLIT,Gen8,A0,26.81,syn,900063.00,,WMBE,ROSC,
PS2_WMFE_NOTNULLTOPSC,Gen8,A0,19.94,syn,187920.00,,WMFE,ROSC,
