Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9LPglv,Gen9.5LP,Gen10LP,Gen11_old,Gen11LP,Gen12LP_Arijit,Gen12LP_28,Gen12LP,Gen11
MBGF,GTI,456237,438917.46,438917.46,452996,375877,0,0,0,0,0,0
MBGFGT,GTI,1,438917.46,438917.46,1,179775.74,0,0,118754.933,155980.833,0,0
MBGFUC,GTI,1,0,0,1,196101.49,0,0,162374.085,202069.2564,0,0
MDRB,GTI,1,203935.02,203935.02,1,436664.84,0,0,331790.105,331790.105,331790.105,0
MediaIdle,GTI,42720,0,0,42720,0,2708390.944,1007222.44,1242778.047,1028557.939,965045.7093,2411562.5
MFC,GTI,1,20601.32,20601.32,1,27399.32,220026.57,30156.04,39676.211,39676.211,39676.211,183396.64
MIDI,GTI,37953,18183.06,18183.06,19956,13739.34,0,0,0,0,0,0
MISD,GTI,703038,699081.1,699081.1,660267,648070.87,0,0,0,0,0,0
MLINT,GTI,0,0,0,0,0,276090.67,73016.26,88194.808,208070.9232,208070.9232,478613.86
MSNP,GTI,1,861224.72,461224.72,1,317044.5,0,0,0,0,0,0
MSQC,GTI,1097233,897016.61,1153076.61,1200563,1555633.26,0,0,0,0,0,0
MSQD,GTI,397879,527006.68,674566.68,533314,867462.99,0,0,0,0,0,0
NONCLKGLUE,GTI,1,1,1,1,1,0.501,1,1.201,1.53771423,1.318185744,1.935763852
Repeater,GTI,12970,9.07,9.07,12214,91002.24,45557.464,103311.96,124077.664,158864.271,136184.3528,199987.5576
SMALL,GTI,895380,655321.74,785521.74,920697,2265634.9,199166.009,793752.86,953297.1849,961892.2066,965439.2262,612410.9
Assign,HDC,0,0,0,0,0,0,0,0,0,0,0
CLKGLUE,HDC,1,1,1,1,1,1.058,1,0.447,0.538324171,0.53832408,1.23863833
CPunit,HDC,9030,16147.03,16147.03,12318,12408.14,13126.438,12263.39,5481.73533,6601.67926,6601.678134,15189.90491
DFX,HDC,62059,299072.27,299072.27,59479,91141.22,96417.316,72430.72,32376.53184,38991.20732,38991.20067,89715.46609
DOP,HDC,1,1,1,1,1,1.058,1,0.447,0.538324171,0.53832408,1.23863833
HDCL1,HDC,0,0,0,0,363115.16,363409.112,2816.34,0,0,0,325706.74
HDCREQCMD1,HDC,519460,613388.59,614473.59,495118,496572.94,572285.54,561570.75,255590.244,349053.2943,349053.2943,551175.03
HDCREQCMD2,HDC,1084276,1064863.67,1064863.67,1015765,954216.89,923232.633,727117.99,340317.925,437239.6942,437239.6942,786253.55
HDCREQDATA,HDC,307530,296616.83,296616.83,293689,260663.29,260882.538,243366.4,104609.611,0,0,235558.12
HDCRET,HDC,584549,718996.64,718996.64,558205,1088705.42,1153146.661,0,322508.426,0,0,0
HDCRET1,HDC,1,1,1,1,1068775.45,1133216.691,821976.86,309146.199,560656.1013,560656.1013,1058623.29
HDCRET2,HDC,1,1,1,1,19929.97,26308.418,25042.84,13362.396,15958.75688,15958.75688,23630.58
HDCTLB,HDC,422553.333,875014.02,0,437140.667,595022.73,701561.435,360099.21,228812.949,240858.8973,240858.8973,572931.46
NONCLKGLUE,HDC,1,1,1,1,1,1.058,1,0.447,0.538324171,0.53832408,1.23863833
Repeater,HDC,34580,114495.09,114495.09,33299,10062.58,10645.095,38040.96,17004.30912,20478.36827,20478.36478,47118.99118
